tier,tier_label,n,iteration,format,compression,encoded_bytes,payload_bytes,framing_overhead_bytes,git_sha
1,arithmetic-shallow,100,33,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,33,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,33,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,34,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,34,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,34,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,35,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,35,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,35,literal,gzip,105,80,25,99e8202
1,arithmetic-shallow,100,36,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,36,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,36,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,37,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,37,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,37,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,38,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,38,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,38,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,39,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,39,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,39,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,40,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,40,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,40,literal,gzip,105,80,25,99e8202
1,arithmetic-shallow,100,41,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,41,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,41,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,42,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,42,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,42,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,43,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,43,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,43,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,44,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,44,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,44,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,45,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,45,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,45,literal,gzip,104,79,25,99e8202
1,arithmetic-shallow,100,46,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,46,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,46,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,47,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,47,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,47,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,48,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,48,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,48,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,49,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,49,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,49,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,50,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,50,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,50,literal,gzip,105,80,25,99e8202
1,arithmetic-shallow,100,51,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,51,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,51,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,52,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,52,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,52,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,53,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,53,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,53,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,54,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,54,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,54,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,55,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,55,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,55,literal,gzip,105,80,25,99e8202
1,arithmetic-shallow,100,56,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,56,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,56,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,57,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,57,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,57,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,58,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,58,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,58,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,59,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,59,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,59,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,60,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,60,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,60,literal,gzip,104,79,25,99e8202
1,arithmetic-shallow,100,61,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,61,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,61,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,62,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,62,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,62,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,63,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,63,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,63,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,64,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,64,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,64,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,65,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,65,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,65,literal,gzip,105,80,25,99e8202
1,arithmetic-shallow,100,66,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,66,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,66,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,67,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,67,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,67,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,68,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,68,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,68,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,69,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,69,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,69,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,70,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,70,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,70,literal,gzip,105,80,25,99e8202
1,arithmetic-shallow,100,71,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,71,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,71,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,72,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,72,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,72,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,73,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,73,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,73,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,74,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,74,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,74,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,75,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,75,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,75,literal,gzip,104,79,25,99e8202
1,arithmetic-shallow,100,76,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,76,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,76,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,77,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,77,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,77,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,78,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,78,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,78,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,79,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,79,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,79,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,80,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,80,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,80,literal,gzip,105,80,25,99e8202
1,arithmetic-shallow,100,81,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,81,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,81,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,82,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,82,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,82,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,83,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,83,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,83,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,84,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,84,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,84,literal,gzip,106,81,25,99e8202
1,arithmetic-shallow,100,85,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,85,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,85,literal,gzip,105,80,25,99e8202
1,arithmetic-shallow,100,86,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,86,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,86,literal,gzip,107,82,25,99e8202
1,arithmetic-shallow,100,87,compact,none,33,4,29,99e8202
1,arithmetic-shallow,100,87,literal,none,118,93,25,99e8202
1,arithmetic-shallow,100,87,literal,gzip,106,81,25,99e8202
