metric,value,unit
N_measurement,100,iterations
script_count,1,entries
action_count,0,entries
define_count,0,entries
action_percent,0.00,percent
script_payload_bytes,33,bytes
action_payload_bytes,0,bytes
define_payload_bytes,0,bytes
script_total_bytes,69,bytes
action_total_bytes,0,bytes
define_total_bytes,0,bytes
avg_action_payload_bytes,0.0,bytes
avg_script_payload_bytes,33.0,bytes
density_ratio_literal_vs_compact,0.00,ratio
